0,3.1
5,3.08
10,2.98
15,2.78
20,2.55
25,2.26
30,2.04
35,1.82
40,1.71
45,1.68
50,1.74
55,1.91
60,2.09
65,2.34
70,2.62
75,2.86
80,3.05
85,3.16
90,3.19
95,3.13
100,2.99
105,2.75
110,2.48
115,2.13
120,1.85
125,1.75
130,1.36
135,1.27
140,1.26
145,1.38
150,1.54
155,1.93
160,2.13
165,2.45
170,2.68
175,2.88
180,2.99
185,3.00
190,2.93
195,2.76
200,2.55
205,2.3
210,2.06
215,1.85
220,1.74
225,1.70
230,1.76
235,1.90
240,2.10
245,2.36
250,2.61
255,2.85
260,3.04
265,3.16
270,3.19
275,3.14
280,2.98
285,2.75
290,2.45
295,2.14
300,1.86
305,1.57
310,1.36
315,1.23
320,1.24
325,1.34
330,1.52
335,1.81
340,2.08
345,2.45
350,2.7
355,2.84
360,3.02
